Commune,Code postal,Type local,Surface reelle bati,Valeur fonciere,Prix_m2,Date mutation
NICE,6000.0,Appartement,22.0,80000.0,3636.3636363636365,30/01/2024
NICE,6100.0,Appartement,34.0,156950.0,4616.176470588235,31/01/2024
NICE,6000.0,Appartement,42.0,258000.0,6142.857142857143,01/02/2024
NICE,6200.0,Appartement,42.0,110500.0,2630.9523809523807,23/01/2024
NICE,6300.0,Appartement,28.0,153000.0,5464.285714285715,30/01/2024
NICE,6000.0,Appartement,44.0,149000.0,3386.3636363636365,18/01/2024
NICE,6000.0,Appartement,20.0,35000.0,1750.0,22/01/2024
NICE,6200.0,Appartement,32.0,145000.0,4531.25,12/01/2024
NICE,6300.0,Appartement,28.0,163000.0,5821.428571428572,06/02/2024
NICE,6300.0,Appartement,21.0,110195.0,5247.380952380952,05/02/2024
NICE,6300.0,Appartement,21.0,121000.0,5761.9047619047615,02/02/2024
NICE,6300.0,Appartement,17.0,62500.0,3676.470588235294,31/01/2024
NICE,6300.0,Appartement,43.0,180000.0,4186.046511627907,09/01/2024
NICE,6000.0,Appartement,26.0,133900.0,5150.0,15/01/2024
NICE,6100.0,Appartement,30.0,148000.0,4933.333333333333,19/01/2024
NICE,6000.0,Appartement,42.0,296000.0,7047.619047619048,01/02/2024
NICE,6100.0,Appartement,42.0,156150.0,3717.8571428571427,26/01/2024
NICE,6000.0,Appartement,21.0,119000.0,5666.666666666667,01/02/2024
NICE,6200.0,Appartement,19.0,158000.0,8315.78947368421,01/02/2024
NICE,6000.0,Appartement,23.0,235000.0,10217.391304347826,22/01/2024
NICE,6300.0,Appartement,44.0,395000.0,8977.272727272728,30/01/2024
NICE,6000.0,Appartement,26.0,187000.0,7192.307692307692,06/02/2024
NICE,6200.0,Appartement,43.0,137240.0,3191.6279069767443,26/01/2024
NICE,6000.0,Appartement,40.0,206000.0,5150.0,25/01/2024
NICE,6000.0,Appartement,33.0,174000.0,5272.727272727273,12/01/2024
NICE,6200.0,Appartement,26.0,157000.0,6038.461538461538,24/01/2024
NICE,6200.0,Appartement,44.0,132000.0,3000.0,02/02/2024
NICE,6200.0,Appartement,21.0,114050.0,5430.952380952381,31/01/2024
NICE,6300.0,Appartement,39.0,232000.0,5948.717948717948,31/01/2024
NICE,6100.0,Appartement,32.0,99000.0,3093.75,30/01/2024
NICE,6000.0,Appartement,25.0,93000.0,3720.0,16/01/2024
NICE,6000.0,Appartement,43.0,140000.0,3255.813953488372,09/02/2024
NICE,6200.0,Appartement,30.0,179000.0,5966.666666666667,12/02/2024
NICE,6100.0,Appartement,42.0,201000.0,4785.714285714285,26/01/2024
NICE,6200.0,Appartement,19.0,117000.0,6157.894736842105,16/01/2024
NICE,6000.0,Appartement,18.0,224100.0,12450.0,06/02/2024
NICE,6000.0,Appartement,15.0,224100.0,14940.0,06/02/2024
NICE,6000.0,Appartement,15.0,224100.0,14940.0,06/02/2024
NICE,6000.0,Appartement,18.0,224100.0,12450.0,06/02/2024
NICE,6000.0,Appartement,36.0,155000.0,4305.555555555556,26/01/2024
NICE,6000.0,Appartement,25.0,155000.0,6200.0,05/02/2024
NICE,6000.0,Appartement,27.0,157500.0,5833.333333333333,06/02/2024
NICE,6200.0,Appartement,23.0,84000.0,3652.1739130434785,01/02/2024
NICE,6300.0,Appartement,43.0,85000.0,1976.7441860465117,05/02/2024
NICE,6000.0,Appartement,20.0,55000.0,2750.0,05/02/2024
NICE,6100.0,Appartement,30.0,110000.0,3666.6666666666665,25/01/2024
NICE,6300.0,Appartement,45.0,121149.0,2692.2,05/02/2024
NICE,6000.0,Appartement,17.0,130000.0,7647.058823529412,08/02/2024
NICE,6000.0,Appartement,20.0,140000.0,7000.0,25/01/2024
NICE,6300.0,Appartement,36.0,130000.0,3611.1111111111113,23/01/2024
NICE,6200.0,Appartement,42.0,135200.0,3219.0476190476193,06/02/2024
NICE,6000.0,Appartement,34.0,185000.0,5441.176470588235,05/02/2024
NICE,6000.0,Appartement,23.0,75000.0,3260.8695652173915,02/02/2024
NICE,6300.0,Appartement,30.0,99000.0,3300.0,30/01/2024
NICE,6000.0,Appartement,20.0,95000.0,4750.0,25/01/2024
NICE,6100.0,Appartement,33.0,122000.0,3696.969696969697,31/01/2024
NICE,6300.0,Appartement,30.0,127000.0,4233.333333333333,31/01/2024
NICE,6000.0,Appartement,33.0,157670.0,4777.878787878788,02/02/2024
NICE,6000.0,Appartement,29.0,130560.0,4502.068965517241,01/02/2024
NICE,6300.0,Appartement,25.0,130000.0,5200.0,30/01/2024
NICE,6000.0,Appartement,17.0,82000.0,4823.529411764706,29/01/2024
NICE,6300.0,Appartement,39.0,110000.0,2820.5128205128203,01/02/2024
NICE,6000.0,Appartement,20.0,125702.0,6285.1,01/02/2024
NICE,6200.0,Appartement,29.0,125000.0,4310.3448275862065,08/02/2024
NICE,6300.0,Appartement,45.0,224000.0,4977.777777777777,14/02/2024
NICE,6100.0,Appartement,42.0,860000.0,20476.190476190477,07/02/2024
NICE,6200.0,Appartement,36.0,196000.0,5444.444444444444,22/01/2024
NICE,6300.0,Appartement,30.0,220000.0,7333.333333333333,30/01/2024
NICE,6000.0,Appartement,39.0,240000.0,6153.846153846154,19/02/2024
NICE,6000.0,Appartement,39.0,250000.0,6410.25641025641,29/01/2024
NICE,6100.0,Appartement,19.0,150000.0,7894.736842105263,16/02/2024
NICE,6000.0,Appartement,39.0,85000.0,2179.4871794871797,30/01/2024
NICE,6000.0,Appartement,43.0,390000.0,9069.767441860466,09/01/2024
NICE,6000.0,Appartement,22.0,122420.0,5564.545454545455,12/02/2024
NICE,6000.0,Appartement,12.0,153000.0,12750.0,18/01/2024
NICE,6100.0,Appartement,38.0,117000.0,3078.9473684210525,08/02/2024
NICE,6300.0,Appartement,19.0,113500.0,5973.684210526316,05/02/2024
NICE,6300.0,Appartement,41.0,75000.0,1829.2682926829268,05/02/2024
NICE,6000.0,Appartement,9.0,30000.0,3333.3333333333335,13/02/2024
NICE,6000.0,Appartement,40.0,212385.0,5309.625,12/02/2024
NICE,6000.0,Appartement,9.0,25000.0,2777.777777777778,13/02/2024
NICE,6000.0,Appartement,29.0,148000.0,5103.448275862069,15/02/2024
NICE,6000.0,Appartement,39.0,190000.0,4871.794871794872,06/02/2024
NICE,6200.0,Appartement,31.0,152300.0,4912.903225806452,16/02/2024
NICE,6300.0,Appartement,43.0,209524.0,4872.6511627906975,16/02/2024
NICE,6200.0,Appartement,40.0,200000.0,5000.0,06/02/2024
NICE,6200.0,Appartement,25.0,125000.0,5000.0,30/01/2024
NICE,6100.0,Appartement,29.0,150000.0,5172.413793103448,26/01/2024
NICE,6100.0,Appartement,44.0,187000.0,4250.0,12/02/2024
NICE,6000.0,Appartement,42.0,264000.0,6285.714285714285,13/02/2024
NICE,6100.0,Appartement,30.0,130850.0,4361.666666666667,13/02/2024
NICE,6300.0,Appartement,25.0,145000.0,5800.0,12/02/2024
NICE,6200.0,Appartement,32.0,170000.0,5312.5,12/02/2024
NICE,6000.0,Appartement,43.0,178000.0,4139.53488372093,14/02/2024
NICE,6000.0,Appartement,42.0,270000.0,6428.571428571428,31/01/2024
NICE,6300.0,Appartement,35.0,240500.0,6871.428571428572,22/02/2024
NICE,6000.0,Appartement,45.0,116000.0,2577.777777777778,02/02/2024
NICE,6300.0,Appartement,21.0,96000.0,4571.428571428572,05/02/2024
